OBJECTID,省,省代码,市,市代码,县,县代码,年度,县类型,市类型,省类型,x,y,县代码_,area,人口,标记,dem,road,resid_sum,gaia_sum,crop_sum,bare_sum,mj,resid_lv,crop_lv,gaia_lv,bare_lv,pop_lv,population,class,forest_sum,cfg_sum,gaia_resid,black_revise,forest_lv,cfg_lv,gaia_crop_sum,gaia_c_lv,geo_subdivision,peo_subdivision,pop,eco_subdivision,pl,geo_subdivision1,geo_subdivision2,worldpop,landscan,geo_subdivision3,geo_subdivision4,city_lv,town_lv,gj_lv,city_sum,town_sum,gj_sum,geo_subdivision6,lake_lv,black_revise1,Shape_Length,Shape_Area,区县,lake_sum,pop2010,pop2000
11,安徽省,340000,蚌埠市,340300,蚌山区,340303,0,市辖区,地级市,省,117.3580017,32.8792992,340303,89.8551025,118178.000000000000000, ,30.143999999999998,0.000000000000000,23717.000000000000000,27108.000000000000000,67863.000000000000000,0.000000000000000,89.855142103313000,0.237552452747139,0.679724337006329,0.271517134927244,0.000000000000000,1315.206333982255000,171045.000000000000000,1,4127.000000000000000,0.000000000000000,0.000000000000000,1.978274841221841,0.041336550680417,0.000000000000000,0.000000000000000,0.271517134927244,3,6,118178.000000000000000,4.000000000000000,1,3.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,4,4.000000000000000,0.102214562562068,0.103085965496208,0.032251924688864,10205.000000000000000,10292.000000000000000,3220.0000000,1.000000000000000,0.041436711937214,1.978274841221841,52658.351819245254000,89855142.103312999000000,蚌山,4137.000000000000000,334426.000000000000000,118178.000000000000000
12,安徽省,340000,蚌埠市,340300,固镇县,340323,0,县,地级市,省,117.3399963,33.2836990,340323,1367.9200439,595513.000000000000000, ,20.765633210699999,0.000000000000000,183428.000000000000000,70969.000000000000000,1277078.000000000000000,0.000000000000000,1367.916482927835700,0.120683369419653,0.840232004119935,0.046692860655643,0.000000000000000,435.341965077461620,501449.000000000000000,3,9061.000000000000000,0.000000000000000,0.000000000000000,0.081190855885623,0.005961532646660,0.000000000000000,0.000000000000000,0.046692860655643,3,6,595513.000000000000000,4.000000000000000,2,3.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000,0.007423460197799,0.113259909221854,0.000000000000000,11283.000000000000000,172145.000000000000000,0.0000000,1.000000000000000,0.033144700379734,0.081190855885623,210663.220572442510000,1367916482.927835700000000,固镇,50377.000000000000000,541644.000000000000000,595513.000000000000000
13,安徽省,340000,蚌埠市,340300,怀远县,340321,0,县,地级市,省,117.0100021,33.0507011,340321,2209.5800781,1191076.000000000000000, ,22.051374345500001,0.000000000000000,291888.000000000000000,110157.000000000000000,2001729.000000000000000,0.000000000000000,2209.579107763473500,0.118891006757683,0.815338678075320,0.044868842266232,0.000000000000000,539.050841285064620,935335.000000000000000,3,10316.000000000000000,0.000000000000000,0.000000000000000,0.070553000610748,0.004201884372472,0.000000000000000,0.000000000000000,0.044868842266232,3,6,1191076.000000000000000,4.000000000000000,2,3.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000,0.003748132996849,0.115142873760834,0.000000000000000,9202.000000000000000,282686.000000000000000,0.0000000,1.000000000000000,0.060279689031693,0.070553000610748,260539.244807954960000,2209579107.763473500000000,怀远,147992.000000000000000,958343.000000000000000,1191076.000000000000000
14,安徽省,340000,蚌埠市,340300,淮上区,340311,0,市辖区,地级市,省,117.4280014,33.0214996,340311,408.4689941,261217.000000000000000, ,17.559082892399999,0.000000000000000,59362.000000000000000,45319.000000000000000,375781.000000000000000,0.000000000000000,408.468828444104930,0.130795239703327,0.827976920773491,0.099853601093546,0.000000000000000,639.502639728071810,283872.000000000000000,1,524.000000000000000,0.000000000000000,0.000000000000000,0.059726740298928,0.001154555197004,0.000000000000000,0.000000000000000,0.099853601093546,3,6,261217.000000000000000,4.000000000000000,2,3.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,4,4.000000000000000,0.005503967332282,0.125291272371045,0.000000000000000,2498.000000000000000,56864.000000000000000,0.0000000,1.000000000000000,0.039563345643896,0.059726740298928,122602.753674707930000,408468828.444104910000000,淮上,17956.000000000000000,207672.000000000000000,261217.000000000000000
15,安徽省,340000,蚌埠市,340300,龙子湖区,340302,0,市辖区,地级市,省,117.4509964,32.9173012,340302,148.8529968,242240.000000000000000, ,30.318627451000001,0.000000000000000,25151.000000000000000,40152.000000000000000,117845.000000000000000,0.000000000000000,148.852750142271670,0.152068822816069,0.712518405819238,0.242768373969655,0.000000000000000,1627.377380133528300,216875.000000000000000,1,6605.000000000000000,0.000000000000000,0.000000000000000,2.147820115201596,0.039935373333074,0.000000000000000,0.000000000000000,0.242768373969655,3,6,242240.000000000000000,4.000000000000000,1,3.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,4,4.000000000000000,0.053442659332481,0.098626163483588,0.000000000000000,8839.000000000000000,16312.000000000000000,0.0000000,1.000000000000000,0.091987398923449,2.147820115201596,62303.182138583797000,148852750.142271670000000,龙子湖,15214.000000000000000,243123.000000000000000,242240.000000000000000
16,安徽省,340000,蚌埠市,340300,五河县,340322,0,县,地级市,省,117.7770004,33.1492996,340322,1422.1800537,610298.000000000000000, ,19.016227180500000,0.000000000000000,180927.000000000000000,104555.000000000000000,1197471.000000000000000,0.000000000000000,1422.182020517786400,0.114496261971268,0.757797085669893,0.066165672732129,0.000000000000000,429.128504796232330,523531.000000000000000,3,15130.000000000000000,0.000000000000000,0.000000000000000,0.109253957486164,0.009574737013410,0.000000000000000,0.000000000000000,0.066165672732129,3,6,610298.000000000000000,4.000000000000000,2,3.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000,0.005281609723326,0.109214652247942,0.000000000000000,8346.000000000000000,172581.000000000000000,0.0000000,1.000000000000000,0.118183769742395,0.109253957486164,252919.311674553320000,1422182020.517786500000000,五河,186754.000000000000000,560175.000000000000000,610298.000000000000000
17,安徽省,340000,蚌埠市,340300,禹会区,340304,0,市辖区,地级市,省,117.2190018,32.8544998,340304,321.5469971,269807.000000000000000, ,30.372505543199999,0.000000000000000,44260.000000000000000,53152.000000000000000,238366.000000000000000,0.000000000000000,321.546602682432590,0.123882357362801,0.667178987689594,0.148770787585802,0.000000000000000,839.090405005404140,325814.000000000000000,1,19375.000000000000000,0.000000000000000,0.000000000000000,1.898591020438170,0.054230019744787,0.000000000000000,0.000000000000000,0.148770787585802,3,6,269807.000000000000000,4.000000000000000,1,3.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,4,4.000000000000000,0.043913020891663,0.079969336471138,0.000000000000000,15689.000000000000000,28571.000000000000000,0.0000000,1.000000000000000,0.115076801640628,1.898591020438170,90537.549160821509000,321546602.682432590000000,禹会,41114.000000000000000,319084.000000000000000,269807.000000000000000
18,安徽省,340000,亳州市,341600,利辛县,341623,0,县,地级市,省,116.1529999,33.1526985,341623,2009.5600586,1327028.000000000000000, ,28.711111111099999,0.000000000000000,363758.000000000000000,89900.000000000000000,1848405.000000000000000,0.000000000000000,2009.558021763247100,0.162912374079079,0.827825221190020,0.040262543860779,0.000000000000000,660.357471937727380,1187254.000000000000000,3,1110.000000000000000,0.000000000000000,0.000000000000000,0.085678482350455,0.000497123733987,0.000000000000000,0.000000000000000,0.040262543860779,3,6,1327028.000000000000000,4.000000000000000,2,3.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,4,4.000000000000000,0.005512251277402,0.157400122801676,0.000000000000000,12308.000000000000000,351450.000000000000000,0.0000000,1.000000000000000,0.008805360120654,0.085678482350455,259750.156819194470000,2009558021.763247000000000,利辛,19661.000000000000000,1167087.000000000000000,1327028.000000000000000
19,安徽省,340000,亳州市,341600,蒙城县,341622,0,县,地级市,省,116.5790024,33.2196999,341622,2142.2600098,1106749.000000000000000, ,26.522689075599999,0.000000000000000,364427.000000000000000,109621.000000000000000,1989772.000000000000000,0.000000000000000,2142.263286018866000,0.153102003727308,0.835937184019004,0.046053653408203,0.000000000000000,516.626830989149880,1101640.000000000000000,3,1571.000000000000000,0.000000000000000,0.000000000000000,0.154077563475920,0.000660003918084,0.000000000000000,0.000000000000000,0.046053653408203,3,6,1106749.000000000000000,4.000000000000000,2,3.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000,0.008638447207921,0.143844724074233,0.000618832445155,20562.000000000000000,342392.000000000000000,1473.0000000,1.000000000000000,0.010281104954393,0.154077563475920,249519.943655564650000,2142263286.018865800000000,蒙城,24472.000000000000000,1062080.000000000000000,1106749.000000000000000
20,安徽省,340000,亳州市,341600,谯城区,341602,0,市辖区,地级市,省,115.8010025,33.7784004,341602,2266.2500000,1351939.000000000000000, ,37.358620689699997,0.000000000000000,483810.000000000000000,95539.000000000000000,2006733.000000000000000,0.000000000000000,2266.249888966205600,0.192136348593491,0.796937539988969,0.037941577495863,0.000000000000000,596.553337010479820,1537231.000000000000000,1,12131.000000000000000,0.000000000000000,0.000000000000000,0.303820982394327,0.004817606177606,0.000000000000000,0.000000000000000,0.037941577495863,3,6,1351939.000000000000000,4.000000000000000,2,3.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,4,4.000000000000000,0.020053965802537,0.172082382790954,0.000000000000000,50497.000000000000000,433313.000000000000000,0.0000000,1.000000000000000,0.006111461665747,0.303820982394327,271814.793184755140000,2266249888.966205600000000,谯城,15389.000000000000000,1409436.000000000000000,1351939.000000000000000
21,安徽省,340000,亳州市,341600,涡阳县,341621,0,县,地级市,省,116.2109985,33.5530014,341621,2108.3601074,1293192.000000000000000, ,31.671061528100001,0.000000000000000,366651.000000000000000,136054.000000000000000,1962477.000000000000000,0.000000000000000,2108.364973090780500,0.156513063797014,0.837726578957028,0.058077649813689,0.000000000000000,613.363910390682240,1170719.000000000000000,3,680.000000000000000,0.000000000000000,0.000000000000000,0.179662223287636,0.000290272993615,0.000000000000000,0.000000000000000,0.058077649813689,3,6,1293192.000000000000000,4.000000000000000,2,3.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000,0.011370163908723,0.144839393861144,0.000303506027148,26636.000000000000000,339304.000000000000000,711.0000000,1.000000000000000,0.005474634033991,0.179662223287636,253058.372263551050000,2108364973.090780500000000,涡阳,12825.000000000000000,1212054.000000000000000,1293192.000000000000000
22,安徽省,340000,池州市,341700,东至县,341721,0,县,地级市,省,116.9929962,30.0294991,341721,3260.1999512,475194.000000000000000, ,146.493509558999990,0.000000000000000,50337.000000000000000,11691.000000000000000,1002469.000000000000000,0.000000000000000,3260.201056831525000,0.013895865492457,0.276738271735664,0.003227378736761,0.000000000000000,145.756090766516370,398414.000000000000000,3,1616714.000000000000000,0.000000000000000,0.000000000000000,0.073304849506710,0.446304711917128,0.000000000000000,0.000000000000000,0.003227378736761,3,6,475194.000000000000000,4.000000000000000,3,3.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,2,2.000000000000000,0.000869026453111,0.013005582674388,0.000021256364959,3148.000000000000000,47112.000000000000000,77.0000000,3.000000000000000,0.073641434143848,0.073304849506710,378784.580795730580000,3260201056.831524800000000,东至,266762.000000000000000,468280.000000000000000,475194.000000000000000
23,安徽省,340000,池州市,341700,贵池区,341702,0,市辖区,地级市,省,117.5009995,30.5118999,341702,2514.2299805,555489.000000000000000, ,137.246737481000000,0.000000000000000,68904.000000000000000,31280.000000000000000,858779.000000000000000,0.000000000000000,2514.234473895876400,0.024665046746614,0.307410660919691,0.011197066385610,0.000000000000000,220.938022501996930,615274.000000000000000,1,1145381.000000000000000,0.000000000000000,0.000000000000000,0.564051687292702,0.410003423715364,0.000000000000000,0.000000000000000,0.011197066385610,3,6,555489.000000000000000,4.000000000000000,3,3.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000,0.003648353599813,0.020859547617924,0.000157145528877,10192.000000000000000,58273.000000000000000,439.0000000,3.000000000000000,0.071019040178142,0.564051687292702,324833.460668850050000,2514234473.895876400000000,贵池,198398.000000000000000,595268.000000000000000,555489.000000000000000
24,安徽省,340000,池州市,341700,青阳县,341723,0,县,地级市,省,117.8939972,30.5977993,341723,1192.5300293,253280.000000000000000, ,202.499041534000010,0.000000000000000,31036.000000000000000,7159.000000000000000,489258.000000000000000,0.000000000000000,1192.530782356327300,0.023422806397982,0.369242022575837,0.005402882813608,0.000000000000000,212.388781647147170,248464.000000000000000,3,629312.000000000000000,0.000000000000000,0.000000000000000,0.152615166533232,0.474940492973533,0.000000000000000,0.000000000000000,0.005402882813608,3,6,253280.000000000000000,4.000000000000000,3,3.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000,0.003134260696315,0.020148926576019,0.000139619125648,4153.000000000000000,26698.000000000000000,185.0000000,3.000000000000000,0.009787678056948,0.152615166533232,189470.197982680660000,1192530782.356327300000000,青阳,12969.000000000000000,246732.000000000000000,253280.000000000000000
25,安徽省,340000,池州市,341700,石台县,341722,0,县,地级市,省,117.5230026,30.1942005,341722,1429.9300537,105506.000000000000000, ,380.149542764999980,0.000000000000000,5625.000000000000000,2288.000000000000000,131794.000000000000000,234.000000000000000,1429.933749455350400,0.003540382962692,0.082951330166236,0.001440070438869,0.000147279931248,73.784028614680892,80612.000000000000000,3,1025604.000000000000000,0.000000000000000,0.000000000000000,0.392300497083103,0.645516609434516,0.000000000000000,0.000000000000000,0.001440070438869,3,6,105506.000000000000000,4.000000000000000,4,3.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,2,2.000000000000000,0.000882420784657,0.002657962178036,0.000000000000000,1402.000000000000000,4223.000000000000000,0.0000000,3.000000000000000,0.000000000000000,0.392300497083103,275594.734347909750000,1429933749.455350400000000,石台,0.000000000000000,92238.000000000000000,105506.000000000000000
26,安徽省,340000,滁州市,341100,定远县,341125,0,县,地级市,省,117.6529999,32.4700012,341125,3006.7900391,801966.000000000000000, ,60.412050534499997,0.000000000000000,391582.000000000000000,47197.000000000000000,2511721.000000000000000,215.000000000000000,3006.791246729227200,0.117209314724843,0.751814682978272,0.014127125422181,0.000064354343831,266.718324053663710,671361.000000000000000,3,86351.000000000000000,0.000000000000000,0.000000000000000,0.043200200504304,0.025846799740042,0.000000000000000,0.000000000000000,0.014127125422181,3,6,801966.000000000000000,4.000000000000000,3,3.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000,0.003696034593578,0.113037357309449,0.000475922821816,12348.000000000000000,377644.000000000000000,1590.0000000,1.000000000000000,0.033382244418801,0.043200200504304,300491.195196096730000,3006791246.729227100000000,定远,111526.000000000000000,779174.000000000000000,801966.000000000000000
27,安徽省,340000,滁州市,341100,凤阳县,341126,0,县,地级市,省,117.5989990,32.7893982,341126,1921.9300537,683049.000000000000000, ,51.313755210300002,0.000000000000000,188623.000000000000000,78950.000000000000000,1501950.000000000000000,0.000000000000000,1921.933840501865500,0.088328240495651,0.703332047589338,0.036970648262045,0.000000000000000,355.397429100576460,631934.000000000000000,3,173966.000000000000000,0.000000000000000,0.000000000000000,0.097998996451265,0.081464671254653,0.000000000000000,0.000000000000000,0.036970648262045,3,6,683049.000000000000000,4.000000000000000,2,3.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000,0.006416830818680,0.081911409676971,0.000000000000000,13703.000000000000000,174920.000000000000000,0.0000000,1.000000000000000,0.064162220556309,0.097998996451265,268119.324593249360000,1921933840.501865400000000,凤阳,137017.000000000000000,644895.000000000000000,683049.000000000000000
28,安徽省,340000,滁州市,341100,来安县,341122,0,县,地级市,省,118.5230026,32.4690018,341122,1503.0799561,449188.000000000000000, ,43.205365853700002,0.000000000000000,117782.000000000000000,71947.000000000000000,1220856.000000000000000,0.000000000000000,1503.079935082766300,0.070524391981276,0.731012608859527,0.043079744187370,0.000000000000000,298.845046925538900,416048.000000000000000,3,63350.000000000000000,0.000000000000000,0.000000000000000,0.072824079567438,0.037932113837546,0.000000000000000,0.000000000000000,0.043079744187370,3,6,449188.000000000000000,4.000000000000000,3,3.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000,0.004840461061764,0.065683930919513,0.000000000000000,8084.000000000000000,109698.000000000000000,0.0000000,1.000000000000000,0.034414935673667,0.072824079567438,258912.328597682700000,1503079935.082766300000000,来安,57476.000000000000000,432021.000000000000000,449188.000000000000000
29,安徽省,340000,滁州市,341100,琅琊区,341102,0,市辖区,地级市,省,118.3020020,32.3459015,341102,267.8330078,246424.000000000000000, ,41.783561643799999,0.000000000000000,32792.000000000000000,37423.000000000000000,223501.000000000000000,0.000000000000000,267.832525869461450,0.110191048672615,0.751031031025191,0.125752610834205,0.000000000000000,920.065835098683350,268430.000000000000000,1,16994.000000000000000,0.000000000000000,0.000000000000000,3.517613333860261,0.057104985397122,0.000000000000000,0.000000000000000,0.125752610834205,3,6,246424.000000000000000,4.000000000000000,1,3.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,4,4.000000000000000,0.056658065127743,0.050814498598051,0.002718484946821,16861.000000000000000,15122.000000000000000,809.0000000,1.000000000000000,0.017765920783487,3.517613333860261,111978.206787847590000,267832525.869461480000000,琅琊,5287.000000000000000,310427.000000000000000,246424.000000000000000
30,安徽省,340000,滁州市,341100,明光市,341182,0,县级市,地级市,省,118.1279984,32.8070984,341182,2359.9199219,569585.000000000000000, ,48.534626038799999,0.000000000000000,183136.000000000000000,84354.000000000000000,1405990.000000000000000,97.000000000000000,2359.917345582860400,0.069842369850010,0.536200821167959,0.032169989878166,0.000036992780641,241.357765880231310,485627.000000000000000,2,318527.000000000000000,0.000000000000000,0.000000000000000,0.130221270076448,0.121476282878375,0.000000000000000,0.000000000000000,0.032169989878166,3,6,569585.000000000000000,4.000000000000000,3,3.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000,0.003626817978298,0.066215551871712,0.000000000000000,9510.000000000000000,173626.000000000000000,0.0000000,1.000000000000000,0.109010859909011,0.130221270076448,311370.224145614190000,2359917345.582860500000000,明光,285841.000000000000000,532732.000000000000000,569585.000000000000000
